Date,Clan Name,Clan level,Result,Our stars,Their Stars,War Players,Experience gained,Total Points,Wars Won,Members,Type,Required Trophies,War frequency,Clan Location,Clan Tag
7/26/2015,Vila da Morte,1,Loss,18,21,10,70,,,,,,,,
7/28/2015,kankiler,3,Loss,9,20,10,32,7347,18,13,Invite only,1000,Twice a week,Cyprus,#C2POLVQ
7/30/2015,Knightz 2.0,1,Win,26,13,10,130,5543,0,9,Anyone can Join,0,Always,International,#Y2GGYP8Q
8/3/2015,SNOOPY SNAP,3,loss,14,29,10,42,6844,12,13,Invite only,600,Always,United States,#PCVU8CYR
8/6/2015,(unknown script),2,win,24,19,10,130,7495,2,15,Invite only,0,Not Set,Not Set,#PCJ9RCCL
8/10/2015,calibre 50,2,win,25,24,10,125,6475,4,12,closed,600,Once a week,International,#9CLQ9P82
8/13/2015,303 revisited,2,win,23,21,10,120,8180,9,13,Invite only,0,Not Set,United States,#YPPQC9RY
8/17/2015,jsr kids,2,win,75,34,30,170,9938,1,38,Invite only,0,Always,International,#9V92GOOU
8/20/2015,The Cutters,5,Loss,35,39,15,90,7777,43,19,Invite only,600,Always,United States,#2UPCLLU9
8/24/2015,$$$$$,2,win,68,15,35,167,8826,6,48,Anyone can Join,0,Always,Argentina,#P8V8RQ9Y
8/27/2015,LOS ROK STAR,2,win,66,12,25,172,8112,8,25,Anyone can Join,0,Always,International,#Y8PCYQ89
8/30/2015,7a,3,win,96,27,40,192,9941,8,49,Anyone can Join,0,Always,International,#9JU888GC
9/3/2015,The Seraphims,3,win,57,14,20,165,10208,10,29,Anyone can Join,1200,Once a week,United States,#2CQ2CJ29
9/7/2015,Clan Aktif War,1,Loss,48,62,30,84,13161,1,49,Invite only,1000,Always,Indonesia,#YYVPR2CY
9/10/2015,(Chinese char),3,win,55,25,20,160,10156,11,32,Invite only,600,Always,China,#P99LY8LG
9/14/2015,ten wolf,4,Win,89,45,35,195,11456,37,35,Invite only,600,Always,Iran,#P9YCRLG9
9/17/2015,Dynastie,2,Win,68,17,25,180,12361,8,40,Invite only,400,Always,Canada ,#Y9J82U8G
9/21/2015,war king,2,Win,77,38,30,182,9138,6,32,Invite only,1200,Always,Myanmar (Burma),#LOOCOG9C
9/24/2015,neak proyod,3,win,59,42,25,170,13568,18,45,Invite only,800,Always,Malaysia,#YY2UYOOV
9/28/2015,Miyagi Dojo,3,Win,88,61,40,195,10681,17,41,Invite only,600,Always,United States,#C2ROPOR
10/1/2015,SERENITY,3,Loss,58,74,25,121,13786,20,34,Invite only,1500,Always,International,#PVJLC9CL
10/5/2015,(unknown script),1,win,74,32,30,184,5159,2,20,Anyone can Join,800,Always,International,#PU9UVVJC
10/8/2015,doubleM,4,win,58,33,20,165,12803,21,45,Anyone can Join,1000,Always,United States,#PPYCUPLL
10/12/2015,Ultimate pinas,5,win,59,45,25,167,12798,37,50,Invite only,200,Always,Phillipines,#92LYURGO
10/15/2015,project........,1,win,54,26,20,165,9967,0,40,Anyone can Join,1000,Once a week,Not Set,#L00Y898C
10/19/2015,BBQ ur BRAINZ,3,win,53,43,20,160,11808,11,23,Anyone can Join,1700,Once a week,United Kingdom,#92QVRPOU
10/22/2015,(unknown script),4,win,55,31,20,160,11957,25,39,Invite only,400,Once a week,China,#YCRR2J2L
10/26/2015,THEGREATHUNTERS,5,win,67,65,25,175,10979,48,31,Invite only,600,Always,Phillipines,#PVQOQJOU
10/29/2015,LUCKY(Chineese),3,win,66,53,25,175,31457,8,47,Anyone can Join,1200,Always,China,#YVLV8Y00
11/2/2015,(arabic),2,win,74,44,30,181,9206,2,19,Invite only,600,Always,Saudi Arabia,#LO9VVU2V
11/5/2015,INDOSTAT APACHE,2,win,71,66,25,180,110661,4,29,Invite only,0,Never,Indonesia,#YV9CJR2Q
11/9/2015,(Chinese char),5,win,70,67,30,176,12898,41,38,closed,1000,Always,China,#9GQRJ9RQ
11/12/2015,NOAKHALI,6,Loss,53,73,25,120,11548,69,31,Invite only,1000,Always,Bangladesh,#2RO9JP2G
11/16/2015,Sword Art,3,win,39,4,15,145,13478,13,47,Anyone can Join,1200,Always,Brazil,#YG9PRQOL
