Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
7/28/2015,1:51,6,Thanatos,Defeat,,,,5. *ortpas**remzi*,62%,2,2
7/28/2015,1:55,6,Thanatos,Defended,,,,7. Asrin1905,42%,0,0
7/28/2015,2:26,4,(unknown),Defeat,,,,2. *Tamer* *Boom*,70%,2,2
7/28/2015,2:59,9,Alabaster,Defeat,,,,6. Yeliz,100%,3,3
7/28/2015,5:19,4,(unknown),Defended,,,,4. basar nike,35%,0,0
7/28/2015,5:24,8,FaZe-wannabe,Defeat,,,,7. Asrin1905,100%,3,3
7/28/2015,5:28,3,dddddd,Defeat,,,,5. *ortpas**remzi*,72%,2,2
7/28/2015,7:32,3,dddddd,100%,3,3,5,3. nx7,Defeat,,
7/28/2015,8:13,5,JJ BOSS,Defeat,,,,4. basar nike,100%,3,3
7/28/2015,8:15,9,Alabaster,57%,1,1,4,9. Atakan AA,Defeat,,
7/28/2015,8:42,1,Black Magic,Defeat,,,,2. *Tamer* *Boom*,70%,1,1
7/28/2015,10:41,10,Knoxx,Defeat,,,,8. XxVedaT xX,55%,2,2
7/28/2015,11:11,2,Austin,Defeat,,,,1. HelloForce,73%,1,1
7/28/2015,11:15,3,dddddd,50%,1,1,5,2. *Tamer* *Boom*,Defeat,,
7/28/2015,12:33,7,Jedi Purger,Defeat,,,,6. Yeliz,81%,1,1
7/28/2015,16:00,9,Alabaster,58%,1,1,4,10. ALPAYARAP9,Defeat,,
7/28/2015,16:07,5,JJ BOSS,58%,1,1,5,4. basar nike,Defeat,,
7/28/2015,16:44,10,Knoxx,11%,0,0,0,9. Atakan AA,Defended,,
7/28/2015,18:54,5,JJ BOSS,50%,1,1,4,6. Yeliz,Defeat,,
7/28/2015,20:14,10,Knoxx,3%,0,0,0,10. ALPAYARAP9,Defended,,
7/28/2015,22:34,10,Knoxx,Defended,,,,10. ALPAYARAP9,40%,0,0
7/28/2015,22:59,4,(unknown),75%,1,1,5,5. *ortpas**remzi*,Defeat,,
7/30/2015,1:47,5,Go Nudi,100%,3,3,4,7. blueBELLE,Defeat,,
7/30/2015,6:05,4,(unknown),85%,2,2,4,6. Chaser14,Defeat,,
7/30/2015,9:32,1,lilbuckybadger,100%,3,3,5,2. Ham,Defeat,,
7/30/2015,13:27,8,Jalau,100%,3,3,4,9. Millennium Earl,Defeat,,
7/30/2015,13:39,5,Go Nudi,82%,2,2,5,5. troy,Defeat,,
7/30/2015,14:28,8,Jalau,Defeat,,,,3. cj,100%,3,3
7/30/2015,14:37,10,Centries,100%,3,0,-,10. MLGaming,Defeat,,
7/30/2015,16:41,9,Kewal,Defeat,,,,7. blueBELLE,100%,3,3
7/30/2015,16:52,3,dddddd,100%,3,3,5,4. Marcoos,Defeat,,
7/30/2015,17:09,7,Alabaster,100%,3,3,4,8. Ryde,Defeat,,
7/30/2015,19:03,8,Jalau,Defended,,,,7. blueBELLE,42%,0,0
7/30/2015,19:41,2,Black Magic,Defeat,,,,1. MMC,58%,2,2
